,author,author_email,id,isopen,license_id,license_title,license_url,maintainer,maintainer_email,metadata_created,metadata_modified,name,notes,num_resources,num_tags,owner_org,private,revision_id,state,title,type,url,version
576,Thomson Reuters,,3d8b5242-55f3-4555-b060-448de1485c8b,False,other-closed,Other (Not Open),,,,2010-04-26T22:38:07.348939,2013-10-10T23:14:07.415301,opencalais,"OpenCalais is a web service that extracts semantic metadata from text content, such as web pages.",4,12,ce086ef6-9e56-4af1-a63c-fd768fa2dfff,False,aeb562bb-dd98-4c35-9ec8-348a2ccbc070,active,OpenCalais,dataset,http://www.opencalais.com/,
577,José Antonio Miñarro Gimenez and Mikel Egaña Aranguren,megana@fi.upm.es,e6e4bcb1-3e19-4d14-867e-0db0fdd23973,True,cc-zero,Creative Commons CCZero,http://www.opendefinition.org/licenses/cc-zero,Boris Villazón-Terrazas,boris.villazon@terrazas.name,2011-06-24T02:31:31.028925,2013-10-10T23:13:07.745258,ogolod,"The OGOLOD system, an extension of the OGO Knowledge Base, publishes ortholog/diseases information using Linked Data. This gives the scientists the ability to query the structured information in connection with other Linked
Data and to discover new information in the cloud, related to orthologs and human diseases.",5,9,ce086ef6-9e56-4af1-a63c-fd768fa2dfff,False,f955e58b-4360-41c5-aa6d-ce8067497380,active,Orthology and Diseases Information - OGO,dataset,http://miuras.inf.um.es/~ogo/ogolod.html,0.1
578,Open Knowledge Foundation Deutschland e.V.,info@offenerhaushalt.de,64e6519c-7f3f-46d0-84ec-239109cc0b5a,True,cc-by,Creative Commons Attribution,http://www.opendefinition.org/licenses/cc-by,,,2011-07-18T09:51:47.855414,2013-10-10T23:13:05.218543,offener-haushalt,"Offener Haushalt shows the complex data of several german budgets (federal, munich, berlin).
It also gives access to the data in an open and re-usable format.",1,8,94d03217-717d-41ce-a20c-00e754e94183,False,0e181dc2-24bc-4bb3-a8a6-22885ae48f66,active,Offener Haushalt,dataset,http://bund.offenerhaushalt.de/,
579,http://www.ons.gov.uk,,4c33e0cb-d419-409b-8a18-3178b017a792,True,uk-ogl,UK Open Government Licence (OGL),http://reference.data.gov.uk/id/open-government-licence,,,2011-06-29T14:22:51.210708,2013-10-10T23:12:47.837451,odc-lsoa,"This dataset describes the 'Lower layer Super Output Areas' used by the Office for National Statistics for many of its statistical outputs. 

Example resource:
http://opendatacommunities.org/id/geography/lsoa/E01000001

Download
http://opendatacommunities-downloads.s3.amazonaws.com/lsoa.ttl.zip",4,5,94d03217-717d-41ce-a20c-00e754e94183,False,c33d7521-4a7d-4fa8-80b4-e2883468fc52,active,Open Data Communities - Lower layer Super Output Areas,dataset,http://opendatacommunities.org/datasets/geography,07-03-2011
580,http://reference.data.gov.uk/id/department/dclg,,b0137f1f-2990-4075-8a74-31c8ded47191,True,uk-ogl,UK Open Government Licence (OGL),http://reference.data.gov.uk/id/open-government-licence,,,2011-06-29T15:25:19.555983,2013-10-10T23:12:47.837451,odc-imd-rank-2007,"This dataset puts the 32,482 LSOAs into a rank order based on their 2007 IMD score. A rank of 1 is the most deprived.

",4,6,94d03217-717d-41ce-a20c-00e754e94183,False,c33d7521-4a7d-4fa8-80b4-e2883468fc52,active,"Index of Multiple Deprivation Ranking, 2007",dataset,http://opendatacommunities.org/datasets/imd-rank-2007,08 Mar 2011
581,http://www.ons.gov.uk,,9aa2f532-be2d-4ef8-b470-492b71b44cfc,True,uk-ogl,UK Open Government Licence (OGL),http://reference.data.gov.uk/id/open-government-licence,,,2011-06-29T15:04:29.937357,2013-10-10T23:12:47.837451,odc-population-2005,"The estimated total population (male and female, all ages) for each Lower layer Super Output Area for mid-year 2005.



",4,16,94d03217-717d-41ce-a20c-00e754e94183,False,c33d7521-4a7d-4fa8-80b4-e2883468fc52,active,Estimated mid-year population 2005,dataset,http://opendatacommunities.org/datasets/population-2005,07 Mar 2011
582,opendatacommunities.org,,29018912-6e90-46fa-92bf-b0eb10e2987d,True,uk-ogl,UK Open Government Licence (OGL),http://reference.data.gov.uk/id/open-government-licence,,,2011-06-29T14:38:41.498312,2013-10-10T23:12:47.837451,odc,"Open Data Communities offers Linked Data access to the Index of Multiple Deprivation datasets from the Department of Communities and Local Government.
This provides a range of useful information covering population, income, education, health, environment and availability of key community facilities for both 2007 and 2010. 

Each dataset contains values for a single indicator and a single year, with one value for each of the 32484 LSOAs in England. In addition there are supporting datasets, such as the list of all LSOAs and their locations. Each dataset has a page that explains more about the data it contains and how it's organised. 

The English Indices of Multiple Deprivation (IMD) 2010 were released on March 24th 2011. 

### Subpackages:

package:odc-lsoa
",1,7,94d03217-717d-41ce-a20c-00e754e94183,False,c33d7521-4a7d-4fa8-80b4-e2883468fc52,active,Open Data Communities,dataset,http://opendatacommunities.org/,March 24th 2011
583,http://reference.data.gov.uk/id/department/dclg,,a67e17f2-fc5d-423a-b250-bb66cc63c0ca,True,uk-ogl,UK Open Government Licence (OGL),http://reference.data.gov.uk/id/open-government-licence,,,2011-06-29T14:55:18.115023,2013-10-10T23:12:47.837451,odc-imd-environment-score,"This dataset contains the scores for the Living Environment Deprivation Domain of the Index of Multiple Deprivation, 2010. This indicator measures the quality of individuals’ immediate surroundings both within and outside the home. A high number indicates a high level of deprivation. 


Example:
http://opendatacommunities.org/id/IMD/2010/IMD-environment-score/LSOA/E01000001

Download:
http://opendatacommunities-downloads.s3.amazonaws.com/imd-2010-environment-score.ttl.zip",3,6,94d03217-717d-41ce-a20c-00e754e94183,False,c33d7521-4a7d-4fa8-80b4-e2883468fc52,active,"Index of Multiple Deprivation, Living Environment Deprivation Domain, Scores 2010",dataset,http://opendatacommunities.org/datasets/imd-environment-score-2010,15 Apr 2011
584,OCLC Research,,b43c58c0-0dbe-4ed5-b311-8ad953f49155,True,odc-by,Open Data Commons Attribution License,http://www.opendefinition.org/licenses/odc-by,,,2011-12-16T10:04:18.006649,2013-10-10T23:12:46.781265,oclc-fast,"FAST (Faceted Application of Subject Terminology) is an enumerative, faceted subject heading schema derived from the Library of Congress Subject Headings (LCSH). Its purpose is to be easier to understand, control, apply, and use than LCSH. Any valid set of LC subject headings can be converted to FAST headings.

FAST contains 1.6M authority records.

The triple count (30M) is a rough estimate based on the number of authority records. The LCSH link count is based on the observation that many but not all of the authority records have LCSH links. The Geonames link count is based on [this account](http://www.oclc.org/nextspace/018/research.htm) that states 100k total geographic entities with 60% matched to Geonames.",3,12,ce086ef6-9e56-4af1-a63c-fd768fa2dfff,False,3e9ea26b-bd53-4e64-8f10-52bf138c1ef4,active,Faceted Application of Subject Terminology,dataset,http://id.worldcat.org/fast/,
585,Consortium for Ocean Leadership,dfils@oceanleadership.org,e1ea1bb1-0edf-4851-93a1-74c6a5648f85,True,other-at,Other (Attribution),,Bob Arko,arko@ldeo.columbia.edu,2011-06-30T15:08:18.015349,2013-10-10T23:12:46.781265,oceandrilling-ldeo,"LDEO log files as data (TEST leg 218 only)


We are still in a development mode and working in particular and the namespace URI's and their hosting. So some elements here will change as we tweak responsibility for maintaining namespaces and curating them. You are welcome (encouraged) to explore our sparql endpoint (http://data.oceandrilling.org/sparql) and engage us, comment and criticize. (Doug)

This site is guided by the linked data pattern (http://linkeddata.org/). Information on this effort and the steps being taken to expose data in this approach are described here.

This data represents only a small percentage of the data available but is sufficient for testing at this time. Additional data related to log files from LDEO, timescales from CHRONOS and data from TAMU are yet to be loaded. ",2,8,94d03217-717d-41ce-a20c-00e754e94183,False,3e9ea26b-bd53-4e64-8f10-52bf138c1ef4,active,Ocean Drilling - LDEO log files as data (TEST leg 218 only),dataset,http://data.oceandrilling.org/linkeddata.html,
586,CHRONOS,dfils@oceanleadership.org,5d866490-8e74-4e1f-bfbf-68607f48fb75,True,other-at,Other (Attribution),,Douglas Fils,dfils@oceanleadership.org,2011-07-05T18:54:40.148060,2013-10-10T23:12:45.762177,oceandrilling-forams,Foram data from the planktonic foram working group.  Hosted at chronos.org. ,2,6,94d03217-717d-41ce-a20c-00e754e94183,False,7cf00ed8-59d0-4c9b-80e0-d569716bff0c,active,Ocean Drilling - Forams,dataset,http://data.oceandrilling.org/linkeddata.html,
587,Consortium for Ocean Leadership,dfils@oceanleadership.org,59402ca7-2e1c-4d68-b536-5fb519451de5,False,notspecified,License not specified,,Douglas Fils,dfils@oceanleadership.org,2011-06-30T16:05:02.826387,2013-10-10T23:12:45.762177,oceandrilling-dbseabed,"We are still in a development mode and working in particular and the namespace URI's and their hosting. So some elements here will change as we tweak responsibility for maintaining namespaces and curating them. You are welcome (encouraged) to explore our sparql endpoint (http://data.oceandrilling.org/sparql) and engage us, comment and criticize. (Doug)

This site is guided by the linked data pattern (http://linkeddata.org/). Information on this effort and the steps being taken to expose data in this approach are described here.

This data represents only a small percentage of the data available but is sufficient for testing at this time. Additional data related to log files from LDEO, timescales from CHRONOS and data from TAMU are yet to be loaded. ",2,8,94d03217-717d-41ce-a20c-00e754e94183,False,7cf00ed8-59d0-4c9b-80e0-d569716bff0c,active,Ocean Drilling - dbSEABED,dataset,http://data.oceandrilling.org/linkeddata.html,
588,CHRONOS,dfils@oceanleadership.org,4e19777c-16c9-47fb-a7f6-c40538c5aef5,True,other-at,Other (Attribution),,Douglas Fils,dfils@oceanleadership.org,2011-07-05T18:40:21.834833,2013-10-10T23:12:45.762177,oceandrilling-janusamp,"A collection of age models for the Deep Sea Drilling Program (DSDP), Ocean Drilling Program (ODP) and Integrated Ocean Drilling Program (IODP) drilling sites.

These can be used to convert depth measurement to geologic age. 

http://data.oceandrilling.org/linkeddata.html
  ",2,6,ce086ef6-9e56-4af1-a63c-fd768fa2dfff,False,7cf00ed8-59d0-4c9b-80e0-d569716bff0c,active,Ocean Drilling - Janus Age Models,dataset,http://chronos.org/janusAmp/,
589,Douglas Fils,dfils@oceanleadership.org,e6bd2bca-6a1f-441e-8506-1ffa0d34c04e,True,other-at,Other (Attribution),,Douglas Fils,dfils@oceanleadership.org,2011-06-30T15:22:27.376859,2013-10-10T23:12:45.762177,oceandrilling-janus,"Janus LOD is a test of exposing Janus data using a linked data application.

http://data.oceandrilling.org/januslod/

Data in Janus comes from the Deep Sea Drilling Program and Ocean Drilling Program.  Authority for this data is at Texas A&M implementing organization  (ref: http://www-odp.tamu.edu/database/)",2,8,94d03217-717d-41ce-a20c-00e754e94183,False,7cf00ed8-59d0-4c9b-80e0-d569716bff0c,active,Ocean Drilling - Janus LOD,dataset,http://data.oceandrilling.org/linkeddata.html,
590,Consortium for Ocean Leadership,dfils@oceanleadership.org,de32ac86-fe71-41db-bbd6-eb1a7f0cb9dc,True,other-at,Other (Attribution),,Douglas Fils,dfils@oceanleadership.org,2011-06-30T16:18:56.999760,2013-10-10T23:12:45.189448,oceandrilling-codices,"Codices:  Drill Site and Expedition Data

Codices exposes general site data (location, depth, recovery, etc) along with publication links and other associated data.


We are still in a development mode and working in particular and the namespace URI's and their hosting. So some elements here will change as we tweak responsibility for maintaining namespaces and curating them. You are welcome (encouraged) to explore our sparql endpoint (http://data.oceandrilling.org/sparql) and engage us, comment and criticize. (Doug)

This site is guided by the linked data pattern (http://linkeddata.org/). Information on this effort and the steps being taken to expose data in this approach are described here.

This data represents only a small percentage of the data available but is sufficient for testing at this time. Additional data related to log files from LDEO, timescales from CHRONOS and data from TAMU are yet to be loaded. 

http://data.oceandrilling.org/linkeddata.html",4,12,ce086ef6-9e56-4af1-a63c-fd768fa2dfff,False,db91ea99-a9f2-497e-84c5-3b9b94fca967,active,Ocean Drilling - Codices,dataset,http://data.oceandrilling.org/codices/,
591,Julia Iwanowa,julia.iwanowa@ibi.hu-berlin.de,4b88cd71-a3e9-4224-b1d2-eac616e4118e,True,cc-zero,Creative Commons CCZero,http://www.opendefinition.org/licenses/cc-zero,,,2012-02-08T14:18:25.422784,2013-10-10T23:12:41.403972,oanetzwerk,This is the Linked Open Data Service from the Open Access Network Project. For more details see http://www.dini.de/projekte/oa-netzwerk/  or http://www.dini.de/english/ and the wiki page http://oanetzwerk.wordpress.com/2011/12/05/oan-lod-dienste-teil-1/ . The search engine is on  http://oansuche.open-access.net/,1,8,ed47c074-2073-48d3-b852-03b01bc70703,False,4abcb2f1-2ff2-4c0d-9bd5-dd7737ef0294,active,OANetzwerk,dataset,http://www.dini.de/projekte/oa-netzwerk/,
592,"Evan Sandhaus, Rob Larson",evan@nytimes.com,1b6b31fa-6b36-4da5-afda-110f0c3e9be4,True,cc-by,Creative Commons Attribution,http://www.opendefinition.org/licenses/cc-by,Evan Sandhaus,evan@nytimes.com,2009-12-04T00:35:11.806655,2013-10-10T23:12:05.324749,nytimes-linked-open-data,"### About

From website:

> For the last 150 years, The New York Times  has maintained  one of the most  authoritative news vocabularies  ever developed. In 2009, we began to publish this vocabulary as linked open data.",5,14,ce086ef6-9e56-4af1-a63c-fd768fa2dfff,False,65e292b0-4778-4ca0-95e4-b7b07f3ab892,active,New York Times - Linked Open Data,dataset,http://data.nytimes.com/,
593,"British Oceanographic Data Centre, Natural Environment Research Council, UK",enquiries@bodc.ac.uk,18fc3418-47dd-4b70-9f0e-4d8b28cd35ea,True,uk-ogl,UK Open Government Licence (OGL),http://reference.data.gov.uk/id/open-government-licence,,,2012-12-20T09:56:29.179656,2013-10-10T23:12:00.324477,nvs,"The NERC Vocabulary Server provides access to lists of standardised terms that cover a broad spectrum of disciplines of relevance to the oceanographic and wider community.

Using standardised sets of terms (otherwise known as ""controlled vocabularies"") in metadata and to label data solves the problem of ambiguities associated with data markup and also enables records to be interpreted by computers. This opens up data sets to a whole world of possibilities for computer aided manipulation, distribution and long term reuse.

All of the vocabularies are fully versioned and a permanent record is kept of all changes made.",9,18,94d03217-717d-41ce-a20c-00e754e94183,False,593ee311-3a13-4d38-ad81-e81d40c7d525,active,NERC Vocabulary Server 2.0,dataset,http://vocab.nerc.ac.uk/,
594,Eurostat,,8e42e719-1c86-45b7-8f5e-56dfd2918970,False,notspecified,License not specified,,Juan Salas,jmsalas@gmail.com,2011-07-21T10:01:31.972871,2013-10-10T23:11:58.452353,nuts-geovocab,The NUTS (Nomenclature of Territorial Units for Statistics)  is a classification defined by the Eurostat office of the European Union. Here we present the NUTS regions along with geographic information as a sample use of the NeoGeo RDF Vocabulary for GeoData. ,3,8,03edf3fa-fe5a-42ec-badd-d5f41e5e0023,False,a676fcea-389b-485a-a496-03e503b2c9d7,active,NUTS (GeoVocab),dataset,http://nuts.geovocab.org/,
595,NPG,developers@nature.com,65ce80df-1b1b-4f2f-95c4-e80fdb5b74d1,True,cc-zero,Creative Commons CCZero,http://www.opendefinition.org/licenses/cc-zero,NPG Developers,developers@nature.com,2012-04-21T19:05:28.387181,2013-10-10T23:11:31.564250,npg,"Bibliographic data from around 900,000 articles published by Nature Publishing Group (NPG) from 1845 through to the present day. Additionally the datasets include NPG products and subjects ontologies. Datasets include:

* [npg:Article](npg-articles)
* [npg:Catalog](npg-catalogs)
* [npg:Citation](npg-citations)
* [npg:Contributor](npg-contributors)
* [npg:Coverage](npg-coverages)
* [npg:DataCitation](npg-data-citations)
* [npg:Graph](npg-graphs)
* [npg:Product](npg-products)
* [npg:Publication](npg-publications)
* [npg:Subject](npg-subjects)
* [npg:Technique](npg-techniques)
* [npg:Term](npg-terms)

Class and property URIs in the [npg:](http://ns.nature.com/terms/) namespace are not dereferenceable.
",1,22,1a24e0c3-013b-481d-b25c-f36c651315d8,False,a8b81be2-7d38-457e-a389-e4cc1bf0b8b2,active,Nature Publishing Group - ALL,dataset,http://developers.nature.com/docs/read/linked_data,
596,Ian Davis,ian.davis@talis.com,e4eb309b-bc8d-4048-a0d5-023cbcd7a1fd,False,other-closed,Other (Not Open),,,,2010-09-08T23:17:53.656862,2013-10-10T23:11:30.150670,nottingham-trent-university-resource-lists,"lists, modules & courses of the trent university of nottinghame",1,11,ce086ef6-9e56-4af1-a63c-fd768fa2dfff,False,eb83ba8f-c72a-4b7d-9631-e8d4c96e4caf,active,Nottingham Trent University Resource Lists,dataset,http://resourcelists.ntu.ac.uk/,1
597,Kjetil Kjernsmo,kjetil@kjernsmo.net,23581ebe-fb43-439d-a64f-9fb3f72f00e2,True,cc-by,Creative Commons Attribution,http://www.opendefinition.org/licenses/cc-by,,,2012-08-28T17:43:08.907099,2013-10-10T23:11:22.288765,norwegian-geo-divisions,A dataset with Norwegian Administrative Divisions and their administrative centers.,7,15,94d03217-717d-41ce-a20c-00e754e94183,False,dd168f21-243b-4c30-9c55-022f4a8e6e90,active,Norwegian geo-divisions,dataset,http://data.lenka.no/,
598,Jose María Alvarez Rodríguez at WESO (University of Oviedo),josem.alvarez@weso.es,4e12b20d-de63-4e53-8d34-eaac1afffa2e,True,odc-odbl,Open Data Commons Open Database License (ODbL),http://www.opendefinition.org/licenses/odc-odbl,Jose María Alvarez Rodríguez,josem.alvarez@weso.es,2011-11-16T19:54:40.911778,2013-10-10T23:11:00.866334,nomenclator-asturias,"This dataset created by the SADEI contains information about the populated places of my area, Asturias in the period 2005-2010, including:

-Codes to identify the type of a populated place: CC/PP/EE (C: code of first level division called “Concejo”, P: code of second level division called Parroquia Rural and EE: code of third level division the real place)

-Name in Spanish and Asturian

-Statistics about: altitude, distance, area, men, women and number of apartments (main and not main)

The dataset has been transformed by WESO Research Group at the University of Oviedo.",7,18,ce086ef6-9e56-4af1-a63c-fd768fa2dfff,False,564267f6-17db-46b3-b6a6-facaa21b2f3f,active,Nomenclator Asturias,dataset,http://www.josemalvarez.es/web/2011/11/01/nomenclator-asturias-2010/,1.0
599,,,98037c61-5dae-44f0-b8a1-4e86359c39c6,True,other-pd,Other (Public Domain),,,,2009-10-27T19:02:06.209285,2013-10-10T23:10:34.863317,nlm_2007_mesh,"### About

Data exposed: NLM 2007 MeSH
Size of dump and data set: 13 MB
Notes: MeSH MOU

### Openness

Appears to be in public domain. [Copyright](http://www.nlm.nih.gov/copyright.html) pages states:

> Government information at NLM Web sites is in the public domain. Public domain information may be freely distributed and copied, but it is requested that in any subsequent use the National Library of Medicine (NLM) be given appropriate acknowledgement. When using NLM Web sites, you may encounter documents, illustrations, photographs, or other information resources contributed or licensed by private individuals, companies, or organizations that may be protected by U.S. and foreign copyright laws. Transmission or reproduction of protected items beyond that allowed by fair use as defined in the copyright laws requires the written permission of the copyright owners. Specific NLM Web sites containing protected information provide additional notification of conditions associated with its use.",1,7,a27ebdd0-6059-46e5-b59c-5aaee0168568,False,9a608321-f6c3-4eba-9b5d-f77355d3a61f,active,NLM 2007 MeSH,dataset,http://www.nlm.nih.gov/mesh/,
600,NHS.uk,,7325d8d4-d5a6-4616-8d90-4ec22bf2f62e,True,cc-by-sa,Creative Commons Attribution Share-Alike,http://www.opendefinition.org/licenses/cc-by-sa,Knud Möller,knud.moeller@deri.org,2011-06-16T14:27:09.721287,2013-10-10T23:06:20.064279,nhs-jargon,Extracted data from the 'NHS Jargon Buster’ site (http://www.ic.nhs.uk/jargon-buster). Contains definitions for commonly used acronyms in NHS (British National Health Service) documents.,1,7,6b851d89-ccb3-4e7c-9ddc-83f5e75ce669,False,1ba8dc28-ffe1-47e9-be1b-2f09fd6422b0,active,NHS Jargon RDF,dataset,http://kantenwerk.org/2011/05/16/nhs-jargon-rdf/,2011.05
601,GNOSS Team,gnoss@gnoss.com,574f28b1-1339-48ff-800b-319a900bd5e0,False,cc-nc,Creative Commons Non-Commercial (Any),http://creativecommons.org/licenses/by-nc/2.0/,GNOSS Team,gnoss@gnoss.com,2012-08-14T08:21:44.722240,2013-10-10T23:06:16.770476,nextweb-gnoss,"<p>
<a href=""http://red.gnoss.com/comunidad/nextweb/"">Next Web</a>
is a global knowledge network designed to share content and opinion on semantic technology and Web 3.0. In Next Web people explore and discuss on opportunities related to web 2.0, semantic web and semantic technologies applied to the web, Web 3.0 and, in general, evolution and future of the Internet. 
The community discusses the future of the web and the way in which the set of technologies enabling internet will influence the development of the socio-digital life, the building of the digital identity of people and organizations, and the acceleration of learning social processes. 
</p>
<p>
Companies, venture capitalists, institutions, researchers, professors, start-ups, bloggers, advanced internet users, internet activists and, on the whole, anybody who believes in the technology power of social transformation, have their new space in Next Web, a community promoted by <a href=""http://gnoss.com/"">GNOSS</a>.
</p>
<p>
Next Web works with <a href=""http://gnoss.com/"">GNOSS software (RIAM Intelearning Lab)</a>. RIAM is a company that develops semantic technology for the creation of specialized networks and linked markets. NextWeb offers a selection of 1,904 resources (November 2012). It includes a facet-based search and enriched contexts. Both are developments by GNOSS.
</p>

<p>
<a href=""http://red.gnoss.com/comunidad/nextweb/"">Next Web</a> es una red global de conocimiento orientada a compartir contenidos y opinión sobre tecnología semántica y Web 3.0.  En NextWeb se explora y se debate sobre las oportunidades relacionadas con la web 2.0, la web semántica y las tecnologías semánticas aplicadas a la web, la web 3.0 y, en general, sobre la evolución y el futuro de internet. La comunidad analiza el futuro de la web y el modo en el que el conjunto de tecnologías que hace posible internet van a influir en el desarrollo de la vida socio-digital, la construcción de la identidad digital de las personas y las organizaciones y la aceleración de los procesos sociales de aprendizaje.
</p>
<p>
Empresas, agentes de capital riesgo, instituciones, investigadores, profesores, ‘start-ups’, ‘bloggers’, internautas avanzados, activistas en internet y, en general, todos aquellos que crean en el poder de transformación social de la tecnología, tienen su espacio en NextWeb, comunidad promovida por <a href=""http://gnoss.com/"">GNOSS</a>.
</p>
<p>
Next Web trabaja con <a href=""http://gnoss.com/"">software de GNOSS (RIAM Intelearning Lab)</a>. RIAM es una compañía que desarrolla tecnología semántica para la creación de redes especializadas y mercados enlazados. NextWeb ofrece en este caso una selección de 1.904 recursos (Noviembre 2012). Incluye un buscador facetado y contextos enriquecidos. Ambos son desarrollos de GNOSS.
</p>",5,74,a2434aea-f477-4f92-8f84-78090a9188f8,False,3127043d-5c3f-47f1-b11b-8dd5c6e47b09,active,"Next Web, a global knowledge network of semantic technology and Web 3.0 (GNOSS)",dataset,http://gnoss.com/comunidad/nextweb,1.0.
602,Newsweek/Daily Beast Company,tech@newsweekdailybeast.com,e142e4c9-f0c5-4077-b887-ede72f6b2034,False,notspecified,License not specified,,,,2011-07-15T11:37:01.432494,2013-10-10T23:04:50.687324,newsweek,"Newsweek uses rdfa, foaf, in the articles describing authors and relationships.

As the rss-feed is currently not working, they only provide their data in html, no other format.

No sparql endpoint",2,8,94d03217-717d-41ce-a20c-00e754e94183,False,5acbf6d8-c2cd-4920-821f-ac9f3b7bed2f,active,Newsweek,dataset,http://www.newsweek.com,
603, <URI>,,31b35d8a-6c0f-484e-b8b5-7bf49997e28e,True,other-open,Other (Open),,,,2009-10-27T19:02:05.664967,2013-10-10T23:04:44.333499,neurocommons_text_mining_pilot,"### About

> The complete dataset is composed of a set of smaller datasets. Each download is in one of two formats: (1) WARC or (2) tar.gz. You can read about the WARC format by following this link to the mailing list. The tar.gz format is a tarred and gzipped file containing triples given in the N-Triples syntax. 

Data exposed: extracted from Temis software applied to 7% of Medline records
Size of dump and data set: 24 MB
Notes: released without contract

### Openness

Data is comprised of other datasets - most of which are open.",3,12,a27ebdd0-6059-46e5-b59c-5aaee0168568,False,9b43b53c-bc09-4116-833c-8244717b0fdc,active,Neurocommons text mining pilot,dataset,http://sw.neurocommons.org/2007/text-mining.html,
604,Konstantinos Kyprianos,k.kyprianos@gmail.com,01041600-a6bc-46b8-b62b-f3b15587173c,False,,,,,,2012-01-21T12:29:00.821381,2013-10-10T23:03:58.523482,neel,"These are the triples deriving from the subject headings existing at the digital library of thesis and dissertations of the University of Piraeus in Greece. Additionally, the specific service contains links to the New York Times subject headings.",3,5,94d03217-717d-41ce-a20c-00e754e94183,False,157e2b23-40a6-4074-8bba-b87fd32deacc,active,Neel,dataset,http://neel.cs.unipi.gr/entry2/,
605,National Diet Library of Japan,,013217d3-2598-4e58-8436-50bfa111788a,False,other-nc,Other (Non-Commercial),,M. Kanzaki,mkanzaki@gmail.com,2011-07-07T04:46:23.734147,2013-10-10T23:03:41.930453,national-diet-library-authorities,"Name authorities and subject headings of Japan's National Library are provided as Linked Data. Each record is described with such vocabularies as SKOS, SKOS-XL, DC and RDA Elements G2. Records are linked to LCSH, VIAF etc. with SKOS mapping properties where applicable.",4,13,b15a85e0-4870-4d6f-8cb1-a5e1b12a83df,False,8d247e11-514a-48c8-b95d-4c60d377f6cd,active,Web NDL Authorities - National Diet Library of Japan,dataset,http://id.ndl.go.jp/auth/ndla,development version
606,Jose María Alvarez Rodríguez at WESO (University of Oviedo),josem.alvarez@weso.es,c2c9a1a5-223f-4fe3-ae49-db77c8e9bc63,True,odc-odbl,Open Data Commons Open Database License (ODbL),http://www.opendefinition.org/licenses/odc-odbl,Jose María Alvarez Rodríguez,josem.alvarez@weso.es,2011-11-17T09:44:53.174559,2013-10-10T23:02:20.728078,naics-2012,"The North American Industry Classification System (NAICS) is the standard used by Federal statistical agencies in classifying business establishments for the purpose of collecting, analyzing, and publishing statistical data related to the U.S. business economy.

Authors of the linked data version:

-Jose María Alvarez Rodríguez & Jose Emilio Labra Gayo

WESO-University of Oviedo",6,27,3b218c81-12e0-4c46-8c25-578abf85db1e,False,372cf2d9-fdbe-4b59-b456-8f12c82cfd68,active,NAICS 2012,dataset,http://www.josemalvarez.es/web/2011/11/16/product-scheme-classifications/,1.0
607,Jose María Alvarez Rodríguez at WESO (University of Oviedo),josem.alvarez@weso.es,f6bca974-28d3-4ac7-9a43-17d20580f7f8,True,odc-odbl,Open Data Commons Open Database License (ODbL),http://www.opendefinition.org/licenses/odc-odbl,Jose María Alvarez Rodríguez,josem.alvarez@weso.es,2011-11-17T09:35:20.018172,2013-10-10T23:02:06.045886,naics-2007,"The North American Industry Classification System (NAICS) is the standard used by Federal statistical agencies in classifying business establishments for the purpose of collecting, analyzing, and publishing statistical data related to the U.S. business economy.

Authors of the linked data version:

-Jose María Alvarez Rodríguez & Jose Emilio Labra Gayo

WESO-University of Oviedo",6,27,3b218c81-12e0-4c46-8c25-578abf85db1e,False,2ac0a5ed-5368-4c5e-85be-f5f09c68acf9,active,NAICS 2007,dataset,http://www.josemalvarez.es/web/2011/11/16/product-scheme-classifications/,1.0
608,Bruce Whealton,bruce@whealton.info,6f7818fc-c29c-48e8-8552-64a91dac58ab,True,odc-by,Open Data Commons Attribution License,http://www.opendefinition.org/licenses/odc-by,Bruce Whealton,bruce@whealton.info,2012-02-27T23:11:47.685009,2013-10-10T23:01:40.185286,my-family-lineage,"<h2>My Family Lineage</h2>
<h3>Note: We have added Content Negotiation</h3>
<p>The addition of content negotiation, allows for serving RDF to clients that request RDF and HTML for clients that request html pages.</p> 
<p><strong>""My Family Lineage""</strong> is a Genealogy Application using MediaWiki and the Semantic MediaWiki Bundle.  In addition, we use the Fuseki Triple Store which has a SPARQL query form available at: http://futurewavehosting.com:3030 
where one would use the Control Panel and select the dataset my-family-lineage.  The website is community driven and through the import of GEDCOM files (Genealogical Data Communication) wiki pages are created, an accompanying RDF file is created and the data is added to the triple store. </p><br />
<p> We use the latest GEDCOM standard version 5.5 which is used by various Genealogy software applications.  </p>

<p>We have a void file available at: http://my-family-lineage.com/void.ttl 
which provides information about vocabularies used, licensing, example resources, and link sets.  </p>

<p>We collect information about Places that correspond to events in an individual/person's life or in the life of a family.  It is here that there are the most triples linking to other data sets that are part of the current LOD Cloud.  Nearly 50,000 triples describe Places, of those over 7300 triples are links to external data sets, including dbpedia, geonames, freebase and yago.</p>

<p>We have included a great deal of information from public genealogy (GEDCOM) files including the genealogy of famous people, e.g. royalty, US Presidents, Authors like Stephen King and more. </p>",10,18,ff622fed-7fcd-4917-b383-ff4fa895087e,False,d85de16b-00a3-417e-b862-af3a5780811d,active,My Family Lineage,dataset,http://my-family-lineage.com/wiki/Main_Page,1.1
